case_id,category,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,difficulty,red_herring,severity,
C001,stp,Two access switches keep flapping; PCs on VLAN 20 intermittently lose connectivity to the server every few minutes.,SW1 and SW2 are connected by two links for redundancy (no EtherChannel configured); both trunk to a core switch.,"show spanning-tree vlan 20: Fa0/1 Root FWD, Fa0/2 Altn BLK. %SPANTREE-2-ROOTCHANGE logged 6 times in the last 4 minutes on SW1. show interfaces FastEthernet0/2: 5 input errors, 1142 collisions, 0 late collision.",Redundant link without EtherChannel is causing a bridging loop / repeated STP topology changes destabilizing the network.,2,STP topology change / missing EtherChannel,hard,no,high,
C002,fhrp,"Half the PCs on VLAN 30 can reach the internet, the other half cannot, despite all having correct IP/mask/gateway.",R1 and R2 run HSRP for VLAN 30's gateway 10.30.0.1; R2 was recently rebooted for maintenance.,show standby brief on R1: Vl30 Grp1 Pri110 P State Active Active-local Standby-10.30.0.3. show standby brief on R2: Vl30 Grp1 Pri100 State Standby Active-10.30.0.2 Standby-local (no P flag shown). show ip interface brief on R2: GigabitEthernet0/1 unassigned YES NVRAM administratively down down.,"HSRP did not fail over correctly / R2 lacks a track/preempt config, so traffic routed through R2 (whose WAN link is down) is silently dropped for PCs whose ARP cache points to R2's virtual MAC via unequal load.",3,HSRP failover misconfiguration (no interface tracking),hard,yes,high,
C003,vlan,Trunk between two switches passes VLAN 10 traffic fine but VLAN 40 traffic never arrives on the far side.,"SW1 trunk to SW2 over Gi0/1, both configured as 802.1Q trunks carrying VLANs 10,20,30,40.","show interfaces trunk on SW1: Fa0/1 Vlans allowed on trunk: 1,10,20,30,40. show vlan brief on SW2: VLAN 1 default active, VLAN 10 Sales active, VLAN 20 Eng active, VLAN 30 Guest active.","VLAN 40 was never created on SW2 (or was pruned/deleted), so trunked frames for VLAN 40 are dropped at SW2 despite the trunk itself being healthy.",2,Missing VLAN on remote switch,easy,no,medium,
C004,security,A student's laptop connects fine on Monday but is completely blocked from the network on Tuesday after they swapped which port they plugged into.,Port security is configured on access ports in the lab with mac address sticky and maximum 1.,"show port-security interface Fa0/5: Port Security: Enabled, Port Status: Secure-shutdown, Violation Count: 1, Last Source Address: 00aa.bbcc.ddee.",Port security violation: laptop's MAC was learned/sticky on the original port; connecting to a new port under max-1 policy triggered a security violation and error-disabled the new port.,1,Port security violation / err-disabled port,medium,no,medium,
C005,dns,Users can browse to internal servers by IP but not by name; external websites work fine by both name and IP.,Internal DNS server 10.10.5.5 hosts records for the company's internal domain; external DNS forwarding is configured to 8.8.8.8.,"nslookup server1.company.com from internal client: Non-existent domain. nslookup google.com: succeeds, returns 142.250.x.x. dir /internal-dns-server/zones/: shows only forwarders.conf, no company.com.zone file present.","Internal DNS zone is missing/not loaded on the DNS server, so internal name resolution fails while external forwarding still works.",7,Missing internal DNS zone,easy,yes,medium,
C006,routing,"Branch office can reach HQ server, but responses seem to take an unusually long, inconsistent path and sometimes time out.","Branch router has two routes to HQ subnet: one static, one learned via OSPF, both present in the routing table.","show ip route 172.16.0.0: two candidate routes shown, one via 10.1.1.1 (Fa0/0), one via 10.1.1.2 (Fa0/1). traceroute 172.16.0.5 run twice: first run hops via 10.1.1.1, second run hops via 10.1.1.2.",Routing instability caused by two competing paths with equal/near-equal preference (equal-cost or misconfigured AD) causing route flapping/asymmetric routing.,3,Route flapping due to competing static/OSPF paths,hard,no,medium,
C007,nat,"Several users behind the same router suddenly cannot reach any external website, though internal resources work fine.",Router performs PAT (NAT overload) for ~40 internal hosts using a single public IP with default enabled ports.,"show ip nat statistics: Total active translations: 4094 (0 static, 4094 dynamic), Peak translations: 4096, Expired translations: 812. New connection attempt from 192.168.1.55 logged as translation failure.",NAT overload port/translation table exhaustion due to too many simultaneous connections mapped to a single public IP.,3,NAT/PAT table exhaustion,medium,no,high,
C008,wireless,Guest Wi-Fi users can browse the internet but corporate Wi-Fi users on the same AP intermittently lose connection and get re-prompted to authenticate.,"AP broadcasts two SSIDs (Corporate - WPA2-Enterprise/RADIUS, Guest - WPA2-PSK) on the same radio.","show wireless client summary (Corporate SSID): 3 clients showing State: Re-Authenticating (repeated 4x in 10 min). RADIUS server log: Access-Request timeout, no Access-Accept received within 5000ms, retry count 3.","RADIUS server response delay/timeout is causing corporate WPA2-Enterprise clients to be periodically de-authenticated, while PSK-based guest clients are unaffected since they don't depend on RADIUS.",2,RADIUS timeout causing WPA2-Enterprise re-auth failures,medium,no,medium,
C009,acl,A specific server can be pinged by IT staff but web (HTTP/HTTPS) access to it from the same staff subnet fails.,An ACL is applied inbound on the server's VLAN interface intended to restrict access to admin subnet only.,"show access-lists STAFF-TO-SERVER: 10 permit icmp 10.10.5.0 0.0.0.255 any (142 matches), 20 permit tcp 10.10.5.0 0.0.0.255 any eq 22 (3 matches), 30 deny ip any any (log) (89 matches).",ACL only explicitly permits ICMP; HTTP/HTTPS traffic falls through to the implicit deny at the end of the ACL.,4,Incomplete ACL missing explicit web traffic permit,easy,no,medium,
C010,vlan,"After a switch replacement, several VLANs disappeared network-wide and all switches show only VLAN 1.",The new switch was added into the existing VTP domain without checking its VTP configuration revision number first.,"show vtp status on new switch: VTP Version 2, Configuration Revision 47, Maximum VLANs 1005, VTP Operating Mode Server, Domain Name CORP. show vtp status on existing switches (pre-merge): Configuration Revision 12, Domain Name CORP.","The replacement switch had a higher VTP revision number than the rest of the domain, so it overwrote and wiped out the VLAN database network-wide when it joined.",2,VTP revision number overwrite / VLAN database wipe,hard,no,high,
C011,routing,IPv6 hosts on VLAN 50 can ping each other but cannot reach the IPv6 default gateway or anything beyond the local subnet.,Router has ipv6 unicast-routing enabled and an IPv6 address configured on the VLAN 50 interface.,"show ipv6 interface Vlan50: Vlan50 is up, line protocol is up, address FE80::1, MTU 1500 bytes, ND DAD is enabled, ND reachable time is 30000 ms, ND advertised reachable time is 0 (suppressed).","Router advertisements are being suppressed (interface configured with ipv6 nd ra suppress) or router IPv6 forwarding is misconfigured, so SLAAC-based hosts never learn a working default gateway.",3,Suppressed IPv6 router advertisements,hard,yes,medium,
C012,dhcp,New laptops on VLAN 60 (a newly added floor) never get an IP address and fall back to APIPA (169.254.x.x); VLAN 10 on the same building works fine.,DHCP server is centralized on VLAN 10; VLAN 60 is a new VLAN added to the access switch and trunked back to the core/router.,"show running-config interface Vlan60: interface Vlan60, ip address 10.10.60.1 255.255.255.0 (no ip helper-address line present). show running-config interface Vlan10: interface Vlan10, ip address 10.10.10.1 255.255.255.0, ip helper-address 10.10.10.5.","Missing ip helper-address (DHCP relay) on the new VLAN's SVI, so DHCP broadcast requests never reach the centralized DHCP server.",3,Missing DHCP relay (ip helper-address) on new VLAN,easy,no,high,
C013,tunnel,Site-to-site connectivity between two branches works for small pings but breaks or is very slow for file transfers and large pages.,Branches connected via a GRE tunnel over an ISP link with default MTU settings; tunnel interface uses default MTU 1476.,"ping 10.20.0.5 size 100: 5/5 received. ping 10.20.0.5 size 1500 df-bit set: Request timed out (5/5 lost). show interface Tunnel0: MTU 1476 bytes, tunnel source Gi0/0, tunnel destination 198.51.100.5.",MTU mismatch/fragmentation issue over the GRE tunnel — large packets exceed the tunnel's effective MTU and are being dropped instead of fragmented (path MTU discovery blocked).,3,GRE tunnel MTU / fragmentation issue,hard,yes,medium,
C014,vlan,A user plugged a small unmanaged switch into two wall jacks in the same room (unaware they're on the same VLAN) and now half the office loses connectivity intermittently.,The unmanaged switch creates a physical loop between two access ports on the same access switch; no BPDU guard configured on access ports.,show spanning-tree vlan 10: 14 topology changes in last 5 minutes. show interfaces Fa0/8 counters: broadcast packets 184220 (rising ~3000/sec). show interfaces Fa0/9 counters: broadcast packets 183990 (rising ~3000/sec).,A user-created physical loop (rogue unmanaged switch bridging two live ports) triggered a broadcast storm; lack of BPDU Guard/loop protection let it happen undetected.,2,Broadcast storm from unauthorized loop / missing BPDU guard,medium,no,high,
C015,dns,Internal clients can resolve internal hostnames correctly but every lookup takes 5-10 seconds before succeeding.,"Internal DNS server forwards unresolved internal queries to a secondary internal DNS server, then to an external forwarder as a last resort.","nslookup wiki.company.com: query took 8.2 seconds, answer 10.10.9.20. debug ip dns query log: query sent to 10.10.5.6, no response after 5000ms x3, retrying 10.10.5.7, response received.",Stale forwarder/secondary DNS server entry pointing to a decommissioned host is causing every query to time out against it before falling through to a working resolver.,7,Stale DNS forwarder causing resolution delay (not failure),medium,yes,low,
C016,acl,"Staff can ping and browse the web to a partner server, but a specific database application (custom TCP port 1521) never connects.","ACL applied on the router interface facing the partner server is meant to allow ping and the database app, but was written in a hurry.","show access-lists DB-ACCESS: 10 permit icmp any any (55 matches), 20 permit tcp any any eq 80 (302 matches), 30 permit tcp any any eq 443 (890 matches), 40 deny tcp any any eq 1521 (23 matches), 50 permit ip any any (12 matches).","A deny rule for TCP port 1521 was placed above the general permit-any rule, so it matches and blocks the database traffic before the broader permit is ever reached.",4,ACL rule order - deny placed before general permit,easy,no,medium,
C017,nat,"After two branch offices merged their networks, some internal servers are unreachable from the other branch, while others work fine.",Both branches independently used the 192.168.1.0/24 private range before merging; a new WAN link connects them directly without NAT between the two internal networks.,show ip route 192.168.1.0: R via WAN link Se0/0/0 (Branch A router). show running-config interface Vlan1 (Branch A local): ip address 192.168.1.1 255.255.255.0. Both entries reference the same 192.168.1.0/24 network.,"Both branches use the same private IP range (192.168.1.0/24), so traffic meant for the other branch is being misrouted to local devices with the same address (an address overlap requiring NAT between sites).",3,Overlapping private IP ranges after network merger (double NAT needed),hard,no,high,
C018,vlan,"Occasionally, a PC on VLAN 10 (Guest) receives traffic meant for VLAN 1, and a network security scan flags unexpected cross-VLAN visibility.","Trunk link between SW1 and SW2: SW1's native VLAN is set to 1 (default), SW2's native VLAN was changed to 10 during a Guest network project.","show interfaces trunk (SW1 side of link): Port Fa0/1, Native vlan 1. show interfaces trunk (SW2 side of same link): Port Gi0/1, Native vlan 10. %CDP-4-NATIVE_VLAN_MISMATCH logged on both switches.","Native VLAN mismatch between the two ends of the trunk link causes untagged frames to be interpreted as different VLANs on each side, leaking traffic between VLAN 1 and VLAN 10.",2,Native VLAN mismatch on trunk (security issue),medium,no,high,
C019,routing,Two routers running OSPF show as neighbors but never fully exchange full routing tables; some remote subnets are missing from the routing table.,R1 and R2 connect over a point-to-point link running OSPF area 0; R1's interface MTU was recently changed for a QoS project.,"show ip ospf neighbor: 10.0.0.2 0 EXSTART/- 00:00:38 10.0.0.2 Gi0/0 (stuck, not progressing). show interfaces Gi0/0 (R1): MTU 1500 bytes. show interfaces Gi0/0 (R2): MTU 1400 bytes.","An MTU mismatch between the two OSPF routers is preventing the neighbor relationship from completing (stuck in EXSTART), so routes are never fully exchanged.",3,OSPF neighbor stuck due to MTU mismatch,hard,yes,high,
C020,routing,"Two routers running EIGRP on directly connected interfaces can ping each other but never become EIGRP neighbors, and routes aren't shared.",R1 and R2 are directly connected; both were configured with EIGRP by two different team members on different days.,"show ip eigrp neighbors on R1: (empty, no neighbors listed). show ip eigrp neighbors on R2: (empty, no neighbors listed). show running-config | include router eigrp on R1: router eigrp 100. Same command on R2: router eigrp 200.","EIGRP autonomous system (AS) numbers must match between neighbors for them to form a relationship; R1 uses AS 100 and R2 uses AS 200, so they never become neighbors.",3,EIGRP AS number mismatch preventing neighbor formation,medium,no,medium,
C021,dhcp,"Most new devices joining VLAN 70 get an IP address fine, but during peak hours (many devices connecting at once) some fail and fall back to APIPA.","DHCP server has a scope of 50 addresses configured for VLAN 70, which now has roughly 60 regular daily users plus guest devices.","show ip dhcp pool VLAN70-POOL: Pool VLAN70-POOL, Utilization mark high 100%, Subnet size 64, Addresses in use: 50 / Total: 50. debug ip dhcp server events: DHCPDISCOVER received, no addresses available, DHCPNAK not sent (pool exhausted).","The DHCP scope for VLAN 70 is too small for current demand and is exhausted during peak hours, so new devices can't get an address.",3,DHCP scope exhaustion,easy,no,medium,
C022,wireless,"Employees near the west side of the office report Wi-Fi that connects but is extremely slow and drops frequently, while the east side is fine.",Two APs cover the office; a newly installed personal Wi-Fi router (unauthorized) was found broadcasting nearby on an overlapping channel.,"show wireless summary: Corporate-AP1, Channel 6, Clients 22, avg RSSI -68dBm. Site survey scan: SSID 'MyHomeWifi' detected, Channel 6, RSSI -45dBm (stronger than corporate AP in west office area).","A rogue, unauthorized access point broadcasting on the same/overlapping Wi-Fi channel as the corporate AP is causing interference and degraded performance nearby.",1,Rogue AP / channel interference,medium,no,medium,
C023,wireless,"A specific employee cannot connect to the corporate Wi-Fi at all, getting an 'incorrect password' error, while everyone else connects fine.",Corporate SSID uses WPA2-PSK (not RADIUS) with a shared password that was rotated last week after a policy change.,"show wireless client auth-failures (last 1 hour): MAC 00:1a:2b:3c:4d:5e, SSID Corporate, Reason: PSK Mismatch, Count: 14. All other MAC addresses on Corporate SSID: 0 auth failures in same window.","The employee's device still has the old, pre-rotation Wi-Fi password saved and hasn't been updated with the new shared PSK.",1,Stale saved Wi-Fi password after PSK rotation,easy,no,low,
C024,qos,"Voice calls over the office phone system are choppy and cut out specifically when someone is also doing a large file upload, but are fine otherwise.",VoIP phones and regular data traffic (including large uploads) share the same uplink with no QoS policy configured.,"show policy-map interface Gi0/1: (no service-policy attached). show interfaces Gi0/1: 5 minute output rate 98500000 bits/sec, 985000 packets/sec (interface bandwidth 100000000 -- near saturation during upload window).","Without a QoS policy to prioritize voice traffic, large file uploads consume all available bandwidth on the shared uplink, starving latency-sensitive VoIP traffic and causing choppy calls.",4,Missing QoS policy causing VoIP degradation under load,medium,no,medium,
C025,security,"Two devices that should be able to reach a shared printer (but not each other) can now reach each other directly, which violates the intended isolation policy.","Private VLAN configured with isolated ports intended to let devices reach only a 'promiscuous' printer port, not each other.","show interfaces private-vlan mapping: Vlan 100 (primary), Vlan 101 (isolated) -- Fa0/3 configured as community, Fa0/4 configured as community. Expected port-type for both: isolated.","The ports were configured as community (which allows same-group devices to talk to each other) instead of isolated (which blocks it), breaking the intended isolation policy.",2,Private VLAN port type misconfiguration (community vs isolated),hard,no,medium,
C026,vlan,"A newly added switch, meant to extend VLAN 20 to a new room, shows the new room's PCs able to reach each other but nothing beyond that switch.",The uplink port connecting the new switch back to the main switch was configured as a regular access port instead of a trunk.,"show interfaces switchport Gi0/1 (uplink port): Administrative Mode: static access, Operational Mode: static access, Access Mode VLAN: 20, Trunking VLANs Enabled: N/A.","The uplink port between the new switch and the main switch was left as an access port instead of being configured as a trunk, so only a single VLAN's untagged traffic can pass, cutting off the new switch from other VLANs/the rest of the network as intended.",2,Switch uplink left as access port instead of trunk,easy,no,medium,
C027,dns,"Employees working from inside the office are sent to an outdated version of the internal wiki page, while remote employees on VPN see the current version.","Split-horizon DNS is configured so internal requests for wiki.company.com should resolve to an internal server IP, and external/VPN requests resolve to a cloud-hosted IP.","nslookup wiki.company.com (internal DNS view): 10.10.9.9. nslookup wiki.company.com (via VPN, external view): 203.0.113.44. show run | section view internal: ip name-server view maps wiki.company.com to 10.10.9.9 (last modified 8 months ago per zone serial).","The internal DNS view (split-horizon) still points wiki.company.com to the old, no-longer-maintained internal server IP, while the external view was correctly updated to the new cloud-hosted address.",7,Split-horizon DNS view not updated internally,medium,yes,low,
C028,nat,"Two internal servers on different VLANs that should communicate directly are instead having their traffic unexpectedly translated, breaking an application that depends on seeing the real source IP.","NAT is configured on the router with an ACL intended to match only internet-bound traffic, but the ACL was written too broadly.",show ip nat translations: Pro Inside global Inside local Outside local Outside global -- tcp 10.10.5.5:51322 10.10.5.5:51322 10.10.20.10:443 10.10.20.10:443 (both inside addresses are private/internal). show access-lists NAT-ACL: 10 permit ip any any (4021 matches).,"The NAT ACL is too broad (matches any traffic instead of just internet-bound traffic), causing internal-to-internal traffic between the two servers to be unintentionally translated as well.",3,Overly broad NAT ACL translating internal-to-internal traffic,hard,no,medium,
C029,ip-addressing,"A PC that was working fine suddenly loses network connectivity, and shortly after, another PC on the same VLAN also starts having intermittent connectivity issues.",A new PC was manually assigned a static IP address by IT without checking the DHCP scope or existing assignments.,"Windows Event Viewer on PC-A: Event ID 4199, 'The system has detected an IP address conflict with another system on the network for address 10.10.2.50'. arp -a on nearby switch: 10.10.2.50 resolves to two different MAC addresses within a 10-minute window.","A statically assigned IP address on the new PC conflicts with an address already in use (assigned by DHCP or another static assignment), causing intermittent connectivity for both devices as they fight over the same address.",3,Duplicate/conflicting IP address assignment,easy,no,medium,
C030,ip-addressing,"A newly configured PC can ping its own gateway and a couple of nearby devices, but not most of the rest of its own VLAN.",PC was manually configured with IP 10.10.4.50 but with an incorrect subnet mask of 255.255.255.240 instead of the intended 255.255.255.0.,"ipconfig /all on PC: IPv4 Address 10.10.4.50, Subnet Mask 255.255.255.240, Default Gateway 10.10.4.1. ping 10.10.4.80 (same VLAN, different subnet range per mask): Destination host unreachable.","An incorrect (too narrow) subnet mask on the PC makes it think most of its own VLAN is on a different network, so it tries to route to those devices via the gateway instead of talking to them directly, and fails.",3,Incorrect subnet mask limiting effective local network size,easy,yes,medium,
C031,multi-fault,"PCs on VLAN 80 cannot reach a file server on VLAN 10 at all, not even a ping succeeds, despite VLAN 80 appearing correctly configured on the access switch.","Two issues exist simultaneously: VLAN 80 was never added to the trunk's allowed VLAN list between the access switch and the core switch, AND the router's ACL for VLAN 80 only permits traffic to VLAN 20, not VLAN 10.","show interfaces trunk (access switch, uplink to core): Vlans allowed on trunk: 1,10,20,30. show access-lists VLAN80-ACL on router: 10 permit ip 10.10.80.0 0.0.0.255 10.10.20.0 0.0.0.255 (12 matches), 20 deny ip any any (log) (34 matches).","Two independent faults are both blocking connectivity: VLAN 80 is pruned from the trunk's allowed VLAN list (Layer 2 issue), and even if that's fixed, the router ACL for VLAN 80 doesn't permit traffic to VLAN 10 (Layer 3/4 issue) - both must be fixed for connectivity to work.",2,Combined Layer 2 (VLAN pruned from trunk) and Layer 3/4 (restrictive ACL) fault,hard,no,high,
C032,multi-fault,"Devices on the newly added VLAN 90 cannot get a DHCP address, and even a PC manually assigned a static IP on VLAN 90 cannot reach a server on VLAN 10.","Two issues exist: the VLAN 90 SVI on the router is missing an ip helper-address for DHCP relay, AND the router is also missing a route back to VLAN 10 from a recent static routing change that wasn't fully applied.","show running-config interface Vlan90: interface Vlan90, ip address 10.10.90.1 255.255.255.0 (no ip helper-address line present). show ip route 10.10.10.0: % Network not in table.","Two independent faults exist: missing DHCP relay (ip helper-address) prevents automatic addressing, and a missing static/dynamic route to VLAN 10's subnet prevents connectivity even with a manually assigned IP - both must be fixed.",3,Combined missing DHCP relay and missing route fault,hard,no,high,
C033,multi-fault,"All users behind a branch router suddenly lose internet access; even after some users disconnect to reduce load, a few users still cannot get through.","Two issues occurred close together: the NAT overload translation table filled up during a traffic spike, AND a recently added ACL meant to block a specific malicious IP range was written too broadly and is blocking a chunk of legitimate return traffic too.","show ip nat statistics: Total active translations: 4088 (during spike window). show access-lists WAN-IN: 10 deny ip 10.0.0.0 0.255.255.255 any (log) (2210 matches), 20 permit ip any any (5502 matches).","Two independent faults compound the outage: NAT/PAT table exhaustion during a traffic spike caused temporary failures for many users, and a separately, overly broad ACL (written to block one malicious IP but matching a huge range) is blocking legitimate return traffic for a subset of users even after the NAT load drops.",3,Combined NAT exhaustion and overly broad security ACL fault,hard,no,high,
C034,security,"A user's connection to a server is technically 'up' but painfully slow and shows a high number of errors, unlike everyone else on the same switch.","The user's PC network card is configured for 100 Mbps full-duplex, but the switch port it connects to auto-negotiated down to 100 Mbps half-duplex due to a firmware quirk.","show interfaces Fa0/12: 100Mb/s, Half-duplex, 1 Late Collision, 42 Runts, 0 Giants (rising). show interfaces Fa0/1 (baseline, same switch): 100Mb/s, Full-duplex, 0 Late Collision, 0 Runts.","A duplex mismatch between the PC (full-duplex) and the switch port (half-duplex) is causing collisions and errors, resulting in a connection that appears 'up' but performs very poorly.",1,Duplex mismatch causing degraded performance,easy,yes,medium,
C035,ip-addressing,"A new employee's laptop can reach every other device on its own VLAN but cannot reach anything outside the subnet, including the internet.","Laptop was manually assigned a static IP by IT; correct IP and subnet mask, but the default gateway field was typed incorrectly during setup.",ipconfig /all on laptop: Default Gateway 10.10.6.99. show ip interface brief on router: Vlan6 10.10.6.1 YES NVRAM up up. show arp on router: no ARP entry for 10.10.6.99 after repeated ping attempts from that VLAN.,"The laptop was configured with an incorrect default gateway address (10.10.6.99) that doesn't correspond to any real device on the subnet, instead of the router's actual interface address (10.10.6.1), so all off-subnet traffic has nowhere to go.",3,Incorrect default gateway configuration on host,easy,no,medium,
