case_id,ai_root_cause,ai_confidence,human_verdict,corrected_root_cause,human_notes
C001,"A physical layer issue or speed/duplex mismatch on link Fa0/2 causes excessive collisions and link instability, which repeatedly triggers Spanning Tree Topology Change Notifications (TCNs) and flushes MAC address tables.",90,Rejected,Redundant link without EtherChannel is causing a bridging loop / repeated STP topology changes destabilizing the network.,A physical loop without EtherChannel was misdiagnosed as a duplex mismatch causing collisions -- a different root mechanism.
C002,"R1 is load-sharing (ECMP) default route traffic between its own WAN link and R2, or R2 is still advertising a default route into the internal routing protocol despite its WAN link being down, causing half the traffic sent to R1 (the HSRP active router) to be forwarded to R2 and dropped.",85,Rejected,"HSRP did not fail over correctly / R2 lacks a track/preempt config, so traffic routed through R2 (whose WAN link is down) is silently dropped.",AI proposed ECMP load-sharing / stale route advertisement; ground truth is a missing preempt config causing failed HSRP failover -- different mechanism.
C003,"VLAN 40 is missing from the VLAN database on SW2, so the switch cannot process or forward traffic for that VLAN across the trunk.",95,Accepted,,
C004,"Interface Fa0/5 entered an err-disabled (Secure-shutdown) state because the laptop's MAC address violated the port security policy, which was already configured with a maximum of 1 sticky MAC address assigned to a different device.",95,Accepted,,
C005,"The internal DNS server is missing its internal zone file configuration, causing internal hostname queries to time out while external queries succeed via the configured forwarder.",95,Edited,"Internal DNS zone is missing/not loaded on the DNS server, so internal name resolution fails while external forwarding still works.","Root cause correct. Evidence claim said queries ""time out""; actual evidence shows NXDOMAIN (non-existent domain), a different failure type than stated."
C006,"The router is load-balancing traffic to 172.16.0.0/24 across two different next hops because both the static route and OSPF route are concurrently installed in the routing table, leading to packet path oscillation across asymmetrical routes.",90,Rejected,Routing instability caused by two competing paths with equal/near-equal preference (equal-cost or misconfigured AD) causing route flapping/asymmetric routing.,AI proposed static+OSPF routes both installed; ground truth is competing equal/near-equal-cost paths -- different specific mechanism despite similar shape.
C007,"The router has exhausted its NAT/PAT translation table limits (port/translation exhaustion) on the single public IP address, causing all new outbound connection attempts to be dropped.",95,Accepted,,
C008,"The RADIUS server is intermittently timing out during 802.1X authentication requests, causing corporate Wi-Fi clients using WPA2-Enterprise to lose authorization and be forced to re-authenticate.",90,Accepted,,
C009,"The inbound ACL on the server's VLAN interface only permits ICMP traffic from the staff subnet and lacks rules permitting TCP traffic on ports 80 (HTTP) and 443 (HTTPS), causing web traffic to be dropped by the implicit deny.",98,Edited,ACL only explicitly permits ICMP and SSH (port 22) from the staff subnet; HTTP/HTTPS traffic falls through to the implicit deny at the end of the ACL.,"Root cause correct. Evidence description omitted the SSH permit line (line 20) from the 3-line ACL, describing it as a simpler 2-line ACL than it actually is."
C010,"The new switch was connected to the VTP domain in Server mode with a higher configuration revision number and a blank VLAN database (only VLAN 1), causing all other switches in the domain to overwrite their VLAN databases with its revision.",95,Edited,"The replacement switch had a higher VTP revision number than the rest of the domain, so it overwrote and wiped out the VLAN database network-wide when it joined.","Root cause correct. AI stated ""loss of all VLANs domain-wide"" as if observed; evidence only shows two differing VTP revision numbers, not a vlan-brief confirming actual data loss."
